trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1019,False,"{'a': 0.4117829432000351, 'e': 0.6088390615072967}",20,0,-103.27855101022558,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
1020,False,"{'a': 0.4114337007723719, 'e': 0.6081248506356083}",25,16,5.50106472893012,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1021,False,"{'a': 0.4110841950271543, 'e': 0.6074101471828243}",25,10,-99.33284204435239,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 2}",1
1022,False,"{'a': 0.41073442618806594, 'e': 0.6066949517278541}",25,15,-3.6344137568067554,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
1023,False,"{'a': 0.4103843944789588, 'e': 0.6059792648500063}",25,16,-37.19078847129694,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 0}",1
1024,False,"{'a': 0.4100341001238532, 'e': 0.605263087128987}",20,12,3.2672826930365377,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1025,False,"{'a': 0.4096835433469375, 'e': 0.6045464191449003}",20,9,-14.953420180075122,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
1026,False,"{'a': 0.40933272437256807, 'e': 0.603829261478247}",20,0,-104.77496631483913,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
1027,False,"{'a': 0.40898164342526905, 'e': 0.603111614709925}",20,9,-26.828580118270022,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
1028,False,"{'a': 0.4086303007297321, 'e': 0.6023934794212281}",20,0,-67.8800679323533,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
1029,False,"{'a': 0.4082786965108167, 'e': 0.6016748561938458}",30,11,-17.613453781442196,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
1030,False,"{'a': 0.4079268309935495, 'e': 0.600955745609863}",20,0,-90.13373007399531,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
1031,False,"{'a': 0.4075747044031243, 'e': 0.6002361482517589}",20,7,-3.316257576170595,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
1032,False,"{'a': 0.40722231696490224, 'e': 0.5995160647024076}",25,3,-116.1550354781894,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 2}",1
1033,False,"{'a': 0.4068696689044113, 'e': 0.5987954955450767}",30,16,0.7705229084211158,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
1034,False,"{'a': 0.406516760447346, 'e': 0.5980744413634271}",25,1,-61.9455164524354,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 1}",1
1035,False,"{'a': 0.406163591819568, 'e': 0.5973529027415128}",20,15,9.083153842604826,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1036,False,"{'a': 0.405810163247105, 'e': 0.5966308802637798}",25,0,-66.17507637598182,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
1037,False,"{'a': 0.4054564749561515, 'e': 0.5959083745150664}",20,0,-50.46187787599121,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
1038,False,"{'a': 0.40510252717306783, 'e': 0.5951853860806023}",20,9,-45.82434434081861,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
1039,False,"{'a': 0.40474832012438056, 'e': 0.5944619155460081}",20,6,-88.45350572811533,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 2}",1
1040,False,"{'a': 0.4043938540367822, 'e': 0.5937379634972947}",25,0,-73.69834999634168,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
1041,False,"{'a': 0.4040391291371311, 'e': 0.5930135305208634}",20,6,2.5797133586826346,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
1042,False,"{'a': 0.40368414565245114, 'e': 0.5922886172035047}",20,14,11.323961413136464,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1043,False,"{'a': 0.40332890380993175, 'e': 0.5915632241323985}",30,13,-98.1034662019493,"{0: 11, 1: 1, 2: 1, 3: 3, 4: 1}",1
1044,False,"{'a': 0.4029734038369277, 'e': 0.5908373518951131}",20,5,-1.953168720664841,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
1045,False,"{'a': 0.4026176459609589, 'e': 0.5901110010796049}",25,0,-117.51231234790858,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
1046,False,"{'a': 0.4022616304097104, 'e': 0.5893841722742182}",20,0,-56.249807466236014,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
1047,False,"{'a': 0.4019053574110323, 'e': 0.5886568660676841}",30,1,-19.8473890375265,"{0: 25, 1: 1, 2: 1, 3: 2, 4: 0}",1
1048,False,"{'a': 0.4015488271929391, 'e': 0.5879290830491207}",20,2,-47.08410082547526,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
1049,False,"{'a': 0.4011920399836102, 'e': 0.5872008238080323}",20,0,-79.79553990239086,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
1050,False,"{'a': 0.4008349960113894, 'e': 0.5864720889343086}",20,0,-40.845629918280096,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
1051,False,"{'a': 0.4004776955047848, 'e': 0.5857428790182249}",20,7,-36.96859592936176,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 0}",1
1052,False,"{'a': 0.4001201386924689, 'e': 0.5850131946504412}",20,5,-122.57229309401846,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 2}",1
1053,False,"{'a': 0.3997623258032777, 'e': 0.584283036422002}",20,0,-93.74065772006712,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
1054,False,"{'a': 0.3994042570662117, 'e': 0.583552404924335}",20,5,-18.24543720533942,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
1055,False,"{'a': 0.3990459327104348, 'e': 0.5828213007492521}",25,0,-12.42861840693155,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
1056,False,"{'a': 0.39868735296527463, 'e': 0.5820897244889474}",25,19,13.123247268298618,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
